date0,local_ip0,remote_asn0,flows0,date1,local_ip1,remote_asn1,flows1,date2,local_ip2,remote_asn2,flows2,date3,local_ip3,remote_asn3,flows3,date4,local_ip4,remote_asn4,flows4,date5,local_ip5,remote_asn5,flows5,date6,local_ip6,remote_asn6,flows6,date7,local_ip7,remote_asn7,flows7,date8,local_ip8,remote_asn8,flows8,date9,local_ip9,remote_asn9,flows9
701,0,29571,1,702,1,5432,1,703,2,3701,1,704,3,2418,1,704,4,9800,1,703,5,3561,4,703,6,19318,2,702,7,2152,6,701,8,21844,1,701,9,26101,89
701,0,32636,1,702,1,6478,2,703,2,4323,8,704,3,3269,26,704,4,14778,7,703,5,4134,3,703,6,23844,1,702,7,3561,1,701,8,22205,4,701,9,30217,6
702,0,209,1,702,1,7132,1,703,2,4513,101,704,3,3354,2,704,4,18229,14,703,5,4230,2,703,6,33314,1,702,7,8070,2,701,8,22822,8,701,9,33419,1
702,0,701,1,702,1,11351,1,703,2,4766,1,704,3,4134,1,704,4,20001,14,703,5,4513,2,704,6,4,1,702,7,8075,2,701,8,22982,4,701,9,36088,217
702,0,766,1,702,1,11427,2,703,2,5617,10,704,3,4589,2,704,4,29895,28,703,5,4766,1,704,6,852,2,702,7,17184,2,701,8,27357,2,702,9,7132,2
702,0,2514,1,702,1,11908,1,703,2,6106,1,704,3,4812,4,704,4,31976,83,703,5,4808,3,704,6,2418,1,702,7,18924,48,701,8,33554,4,702,9,8070,3
702,0,2711,1,702,1,12302,53,703,2,7018,933,704,3,9271,1,704,4,33651,19,703,5,6432,4,704,6,3269,38,703,7,3,2,702,8,109,7,703,9,102,8
702,0,2819,1,702,1,12322,1,703,2,7065,1,704,3,9800,2,705,4,553,1,703,5,7132,2,704,6,3354,2,703,7,109,7,702,8,3356,1,703,9,209,7
702,0,2856,1,702,1,13571,2,703,2,7132,5,704,3,9812,1,705,4,4323,1,703,5,8070,6,704,6,4134,2,703,7,1103,3,702,8,3701,4,703,9,797,143
702,0,3269,8,702,1,13749,849,703,2,7377,94,704,3,18229,4,705,4,4760,73,703,5,8075,6,704,6,4589,2,703,7,1239,7,702,8,8075,2,703,9,1239,3
702,0,3320,1,702,1,13767,4,703,2,9316,1,704,3,27699,2,705,4,4766,4408,703,5,9156,1,704,6,4812,1,703,7,1784,2,702,8,13749,570,703,9,2013,19
702,0,3561,14,702,1,14777,7,703,2,9394,1,705,3,286,1,705,4,4837,3,703,5,9271,2,704,6,9271,4,703,7,2152,33,702,8,15169,105,703,9,2152,14
702,0,4766,1,702,1,14778,16,703,2,12260,4,705,3,553,2,705,4,7132,2,703,5,9316,1,704,6,9800,2,703,7,2637,1,703,8,25,3,703,9,3356,2
702,0,5462,1,702,1,15169,10,703,2,16572,8,705,3,4134,1,705,4,9800,747,703,5,9394,1,704,6,9808,1,703,7,2914,36,703,8,109,7,703,9,3561,7
702,0,9038,1,702,1,16852,2,703,2,18229,1,705,3,4538,60,705,4,13749,2,703,5,12222,3,704,6,9812,1,703,7,3320,2,703,8,786,1,703,9,3707,81
702,0,9708,1,702,1,17184,3,703,2,19306,3,705,3,4766,2,705,4,14778,2,703,5,13867,2,704,6,9929,1,703,7,3356,1,703,8,2386,36,703,9,4355,4
702,0,10139,1,702,1,19548,2,703,2,29863,8,705,3,4837,16,705,4,22855,28,703,5,14779,1,704,6,17429,1,703,7,3561,5,703,8,2553,41,703,9,6307,11
702,0,11351,2,702,1,19945,1,703,2,30099,4,705,3,9812,1,705,4,27715,10,703,5,15169,3,704,6,18229,2,703,7,3701,3,703,8,2843,4,703,9,6334,3
702,0,12322,1,702,1,22773,1,704,2,81,29,705,3,10292,1,705,4,31976,83,703,5,18229,2,704,6,19191,4,703,7,4264,2,703,8,3561,10,703,9,6432,3
702,0,12542,1,702,1,32244,1,704,2,1312,85,705,3,13749,1,705,4,33651,283,703,5,19318,6,704,6,27699,4,703,7,6102,2,703,8,3701,4,703,9,6453,10
702,0,12946,1,702,1,33287,1,704,2,2914,1,705,3,27715,2,706,4,4766,1,703,5,21844,1,705,6,286,2,703,7,6432,8,703,8,3999,1,703,9,6939,3
